comment,rating
Ivsbebkfhifhiwfhiwhdkakdbaidhauvsbkfbskxbksbfkdbvkdbcisbkfsbjfhsbfjsvjabfjwvfjbdwbfjavfjsvfjsbjsjvfjsbscbkugfwvvsjfgjwfvjwfvjwvfjwfvjw,5
"Kính đẹp chắc chắn nhưng lúc giao cho mình bị xước mắt kính rồi, buồn xỉu",5
Giao hàng khá nhanh kính oce không quá lỏng lẻo nhưng hơi bé bạn nào mặt to đeo sẽ bị đau mặt,5
Mámmmsmsmsmsmmssmmss. Snsmsns s snsmsnsmaksmbs d shsjs e,5
"Hàng đóng gói khá kĩ, mình mua 4c mà có 60k thui, giá cả rất phải chăng. Mỗi tội toiii đặt màu vàng mà shop giao thành xanh, nhưng mà đẹp nên vẫn duyệt heheeeee. SV, HS kh nên bỏ qua một shop veriiii tuyệt vời như này",5
"gói hàng chắc chắn
đc tặng kèm giấy lau kính 
kính hơi bị lệch 
ns chung là k đẹp",5
"Kính đẹp, giá lại phải chăng, nhận hàng gói rất đẹp, ko có ảnh nhưng vẫn rất thích sản phẩm",5
Sản phẩm okeee giá phải chăng ảnh khongg liên quan lắm :))) ...,5
Kính đỏ đẹp lắm. Ưng ý. Còn kính trắng thì hơi yếu. Nc hợp so vs giá tiền. Hhhhhhhhhhhhhhhhhhhhhhhhhhh. Giao hag nhanh,5
"Kính khá okeee , giao hàng lâu vì dính đợt tết 🧧",5
"Kính đẹp, ổn nhưng hơi kiểu lệch lệch 
Quốc tế nên 9ngày có hàng",5
Đvtsbdhnsjsnshshsgwhbwjwkkwkwkwkwkwkwjbsbbdbxbxbxbxjdjjdkskwkwkwksbhsh,5
Nsjsjsjjsjxjjajakskxjcjdkkcndkkakamznxnkakakdndnjsjsjsjsjjskakakskkskskd,5
"xịn vl mấy ông ạ, 2 đợt xịn bome luôn không bao giờ thất vọng...",5
"Sản phẩm rất oki nha mọi người ; giá lại rẻ nữa , rất đáng mua nhé",5
Kính okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,5
47k 3 em kính quá là rẻ cho 1 cuộc tình. mình cứ nghĩ sẽ hơi lỏng lẻo cơ nhưng không chắc chắn mà đẹp thực sự luôn ạ.,5
Giao thiếu 1 kính,5
"Đóng Gói kĩ càng cẩn thận 
Giống hình, nhưng mà hơi nhỏ,  kính rất cute hợp với giá tiền",5
👌,5
Off d hk kakehgfgfdrtgffddfg gà dffffdfddddddffftyyyyuuuut,5
Sản phẩm ok lắm ạ,5
"Sản phẩm bị méo.
Hai bên kính mở ra rất khó,cứng.
Tuy nhiên shop còn tặng túi đựng kính nữa.",5
Nhận hơi lâu :((( nhưng được cái hàng tốt và rẻ ❤️,5
