comment,rating
Đitxucivfđryugc có đi làm gì đâu k đi chơi k đi đâu chơi không biết nữa hả anh yêu ngủ ngon nha có đi làm về rồi nè em có thể dục thể thao,5
"áo len mỏng mềm, rất mịn, sờ đã tay lắm, chất áo co dãn, chiều dài tay áo ok, tay áo không bị ngắn, đáng đồng tiền 👏🏻❤️ hàng quốc tế nhưng giao hàng khá nhanh good",5
"Áo rất đẹp nha 🥰🥰🥰🥰, chất vải khá là mịn , mặc rất dễ chịu 🥰🥰😃🥰😌🥰",5
"Shop giao hàng nhanh, đóng gói kĩ. Lần sau tôi sẽ tiếp tục ủng hộ shop.",5
"Shop giao đủ hàng, sản phẩm y mẫu, đẹp, chất dày dạn, hình ảnh mang tc nhận xu",5
Chất liệu len mỏng cổ tròn hơi giãn chứ không bo cho lắm. Tạm ổn,5
"Xinh như mẫu luôn ạ 
Chất Oke lắm ạ 
1000000000 điểmmmmmmmmmmmmmmmm",5
"Dự án được thực hiện dưới sự dẫn dắt của đạo diễn Hồ Sĩ Hậu cùng bộ đôi biên kịch Minh Châu và Giò. Bên cạnh cặp nam chính Cody – Đỗ Hoàng Dương, Em Là Chàng Trai Của Anh vẫn có nhiều nhân vật phụ khác, hứa hẹn làm nên câu chuyện tình màn ảnh đậm mùi ngọt – ngược mở đầu năm 2021. Cho đến hiện tại, n",5
"Áo hơi mỏng nhưng mịn sờ thích lắm
Giao hàng hơi lâu 
Shipper  thân thiện",5
Giao thiếu hàng giải quyến vấn đề này cho mình nhanh nha shopp .......,1
"Chất lượng sản phẩm tốt, mặc nên nhìn đẹp. Shipper thân thiện",5
"Áo mỏng nhẹ mịn
Hàng sờ thích
Đóng gói được
Giao hàng lâu quá trơiif",5
Giao thiếu đồ và cách shop giải quyết là bắt khách kiên nhẫn chờ từ ngày này qua ngày khác và kh có giải quyết. Trong khi dán tiếng trung chỉ có 4 món hàng tôi đặt 5 món hàng. Vậy có được xem là cố tình đặt thiếu không.,1
Áo rất thích!,5
"Shop giao hàng đủ số lượng,chất vải không được đẹp lắm,giá ổn.Chất vải len ạ",5
"Áo xinh lắm nha, chất vải mang 1 ngày thấy hơi xù mặt trong tay áo, nhưng giá mềm nên là oke lun 👌👌👌
Sẽ quay lại mua thêm nhiều món nữa",5
"Hình ảnh và video chỉ mang tính chất lấy xu, chất vải đẹp, mềm, mặc ko bị nóng, mặc mùa hè hay mua đông đều được nhaa",5
"Sản phẩm ok, giao hàng nhanh, đóng gói kỹ, sẽ ủng hộ shop lần sauuuuuh",5
áo hơi mỏng mịn . nhưng mặc mát nhaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,5
Shop giao hàng hơi lâu nhưng là ship từ Trung Quốc về nên cũng ok. Giá áo không phải tốt nhất trên shopee nhưng thấy shop được rate nhiều nên chọn,5
"chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹpppppp",5
mình tưởng kiểu vải mỏng dính nhưng mà không lúc nhận là vải giống như dệt kim á mouj người nhưng với cái thời tiết sài gòn thì..,5
"Chất liệu đẹp, êm mướt lắm. Chỉ là áo ôm , chứ ko rộng được như mẫu mặc, nên ko thích lắm. Vải dày dặn, co giãn tốt, ko bị chảy. Sau khi giặt thì ko bik ntn 😁",5
Áo rất đẹp. Sản phẩm y như hình . Rất đáng để mua.Hình ảnh không liên quan.,5
Mua của shop lần thứ 2 rồi rất ưng thank shop nhiều nha.lần sau ủng hộ shop tiếp,5
Hàng ok lắm nha đẹp xuất sắc rất đáng để mua mng nên mua nhaaaaaaa,5
"Tiền nào của nấy. Vải cũng ổn, form áo đẹp, nói chung oki nè. Ship hơi lâu tẹo, nói v cho đủ kí tự chứ do dịch nên ship lâu cũng thông cảm.",5
"Hàng nước ngoài, giao hơi lâu xíu nhưng bù lại chất đẹp bất ngờ. Chất len mịn, hơi xù một tí. Nhưng mặc không bị ngứa. Mình mua giá sale 98k thấy cũng ổn áp phết ạ.",5
"Vải thun mềm đẹp, chất rất thích. Mặc dù giao hàng thiếu nhưng shop đã hoàn tiền vẫn đánh giá shop 5 sao",5
"Áo chất mềm thích cựcccc, tuy nhiên hơi mỏng xíu, nhưbg chất mềm nên ưng lắmmsm luông",5
"Giao thiếu chân váy mất rồi :((( áo thì vải xấu quá, em hơi thất vọng nhưng shop nói hoàn voucher cho em vì em lỡ bấm giao hàng thành công khi chưa kiểm hàng",2
"Áo hơi mỏng, vải mát mặc không bị nóng, thời gian giao hàng lâu",5
"Áo thun đẹp, chất dày vừa phải, shop giao hàng nhanh. Lên form cưng. ❤️❤️❤️",5
Áo về đẹp ngoài sức tưởng tượng chỉ có điều nhận hàng lâu hơn so với dự định,5
Váy đẹp dày dặn mặc vừa xinh tôn da mua hàng lần nào cũng ưng hết ý,5
Vải đẹp 😍,5
"Vải mỏng, nhưng mặc êm không thô nhưng các sp cũng giá
From hơi nhỏ nhưng không sao vẫn chấp nhận được
Màu ở ngoài nâu hơn nha",5
Chất lượng sản phẩm tuyệt vời. Rất đáng tiền. Thời gian giao hàng nhanh,5
"Sản phẩm đẹp như ảnh giá ổn form lên chuẩn đáng đồng tiền mng nên mua thử nha 
Màu váy tối hơn màu trên ảnh nhưng vẫn ok",5
"Áo vải hơi mỏng, mịn, cũng ok, cổ cao hơn tí thì được.........",5
"Áo vãi mềm mịn
Dể thương
Mang lên cũng xinh
❤️",5
"Áo ngoiaf màu đẹp hơn ảnh, chất đẹp miễn bàn. Kiểu len mỏng",5
"Áo cực kì đẹp, vải mềm mịn cực thích luôn, sẽ ủng hộ shop lần sau tiếp",5
