comment,rating
Quần cotton đẹp chất mát thấm hút mồ hôi tuy nhiên hơi rộng không ôm lắm,5
"Sản phẩm đẹp, giao hàng nhanh, đúng số lượng, mua giá sale nên ưng",5
"Chất lượng sản phẩm tuyệt vời!
Sẽ ủng hộ vào lần tới!
Cảm ơn shop",5
Quần xịn đáng tiền nha mua tặng nên ko có chụp lại 😍😍😍😍Quần xịn đáng tiền nha mua tặng nên ko có chụp lại 😍😍😍😍Quần xịn đáng tiền nha mua tặng nên ko có chụp lại 😍😍😍😍,5
"Hàng giao nhanh 
Chất lượng tuyệt vời 
Sẽ ủng hộ tiếp
Shop uy tín",5
"Chất lượng sản phẩm tuyếht vời, dùng rất thích, đẹp lắm hop ơi",5
"Sản phẩm chất lượng rất tốt. Shop đóng gói sản phẩm đẹp, kỹ. H.a chỉ mang tính chất nhận xu",5
"Ywudownhwisjdhwowjbsjsnqksjejhehwoqksndkdjywhdkejqm
Khá là ok ạ
Nhân viên giao hàng tiết kiệm siêu đáng yêu",5
Chất lượng tốt giao hàng nhanh đúng sản phẩm đóng góp hàng đẹp,5
Giao hàng nhanh..chg mình bảo mặc thích lắm. Vải cũng mát nữa,5
Snvavajqoqpdcnxnxn s a abaoqoqygqvavs cnkckaiahsjdkqjwhgeoejwbskfjjrbflwjwbbfbwvvwvsn,5
"hàng châtvlieeuj đẹp, giá tốt, giao hàng nhanh chóng, đóng gói cẩn thận..........",5
"Giao hàng nhanh, hàng đẹp
Gggggggggggggggggggggggggggggg",5
"Chất lượng tuyệt vời, săn sale nên được giá hợp lý. Ảnh và video mang tính chất nhận xu",5
"Mình dùng đồ ONOFF  nhiều rồi nên không có gì để nói về chất lượng, hàng VN chất lương cao",5
Chất cotton mát thâm mồ hôi. Shop tư vấn nhiệt tình size chuẩn. Hiệu on off khỏi chê. Like 👍👍,5
"Mua 6 quần mà cái trong túi cái bên ngoài, tem mác thì đầy đủ, mấy cái bên ngoài hơi mùi 😷 Đây là giá mình mua sale được, còn có voucher giảm 10% đơn >500k nữa, úp lên cho mọi người tham khảo ạ.",5
"Hàng chính hãng, chất vải khá ok. Size chuẩn shop giao nhanh 5*",5
Giao nhanh. Đóng gói kỹ,5
sản phẩm ok . chất vải  ổn đánh giá 9 / 10 . chuẩn bị hàng nhanh . giao cũng nhanh.,5
"Đóng gói hàng cẩn thận, giao hàng nhanh! Chưa sử dụng nên chưa chưa có đanhs giá thêm",5
Xzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,5
"Quần co giãn tốt, chất liệu thoáng mát, đóng gói đẹp. Feeling goodddd !!!!",5
Mém thì cắt vô quần 😂 sản phẩm thì dùng từ lâu rồi. Nên k có gì bàn về chất lượng. Giao nhanh. 12-12 sales mà 13-12 nhận được rồi,5
Shop gói hàng đơn giản. Sản phẩm size m nhưng to hơn so với quần size m của hãng khác. Chất liệu thấm hút tốt,5
Hàng onoff chất lượng khỏi bàn rồi. Mua qua shopee còn được giá ưu đãi nữa 😍😍😍,5
"Giao hàng nhanh chóng, sản phẩm như hình, shop rất thân thiện và nhiệt tình",5
"Shop đóng gói hàng kĩ, chất lượng sản phẩm tuyệt vời, sẽ ủng hộ shop lâu dài",5
Chất vải rất okeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,5
"Mình lần đầu mua, dựa theo bảng size nên hơi rộng. Chưa giaetj nên cũng k biết chất có mềm k. Shop giao hàng nhanh. Có hóa đơn bán hàng",5
"Hàng đóng gói đẹp, chất lượng tốt",5
Ok lắm ạ. Zzcvbbzzzzzzzzzzzzzzxxxxxxczxxczzccxxvxxxxzx,5
Sản phẩm oke nha,5
Sản phẩm oke,5
Hàng shop mall thì yên tâm rồi. Cơ mà mua size S cho chồng vẫn bị rộng.,5
"Sản phẩm tốt, chất lượng",5
"Giao quần hơi lâu đóng gói cũng khá chắc chắn , shipper nhiệt tình .",5
Quần đẹp,5
"Quần hơi phèn so với tầm giá (so luôn với hãng khác), form rộng mặc lên không đẹp, không ôm mặc dù đã chọn đúng size theo cân nặng. Chất liệu thì thường, chỉ tạm được. Được cái giao hàng nhanh còn quần thì chỉ cho được 3/5 sao mà thôi!",3
Giao hàng rất nhanh. Hàng của On-Off thì không phải bàn về chất lượng nữa.,5
"tốt, tuyệt vời, size hơi lớn, giá cả hợp lý, bền, chắc, đẹp giao nhanh",5
Không nên ghi tên sản phẩm đối với sản phẩm đồ lót,3
Ổn nha,5
"Chất quần đẹp, đang mua. Đặc biết ship rất nhanh ạ...........",5
"Hàng chất lượng, giao khá nhanh và đóng gói rất cẩn thận",5
"Chất liệu co giãn tốt, thoải mái",5
